B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0487,0.0765,0.0936,0.2814,0.1406,0.0538,0.7049379,-0.3336493,-0.29525563,-0.48547277,1,train
0.0488,0.0748,0.0923,0.2728,0.1419,0.0545,0.6965174,-0.31564987,-0.30964467,-0.48820138,1,train
0.049,0.0778,0.0937,0.2899,0.1397,0.0537,0.71082914,-0.34962758,-0.2845977,-0.48065713,1,train
0.0488,0.0775,0.0934,0.2899,0.1397,0.0537,0.7118394,-0.34962758,-0.28637198,-0.4822281,1,train
0.0493,0.0785,0.0927,0.2879,0.1418,0.0539,0.70759195,-0.34000465,-0.28733543,-0.48403978,1,train
0.0489,0.0764,0.0924,0.2506,0.1369,0.0524,0.6734558,-0.2934194,-0.28363806,-0.47362754,1,train
0.0481,0.0757,0.0927,0.2586,0.1348,0.0516,0.6863384,-0.3146924,-0.2807601,-0.47402954,1,train
0.0475,0.0771,0.0928,0.2619,0.1304,0.0483,0.6929541,-0.33520266,-0.25686747,-0.46599215,1,train
0.0478,0.0753,0.0916,0.2636,0.1306,0.0482,0.69299936,-0.33739215,-0.26857698,-0.46412557,1,train
0.0478,0.0779,0.0933,0.2798,0.1306,0.0482,0.7081807,-0.36354774,-0.25275782,-0.46412557,1,train
0.0485,0.0759,0.0924,0.2679,0.1309,0.0483,0.693426,-0.3435306,-0.26595742,-0.45930877,1,train
0.0486,0.0784,0.0932,0.2753,0.1309,0.0483,0.69990736,-0.3554899,-0.2508361,-0.45849583,1,train
0.0483,0.0808,0.0938,0.2925,0.1358,0.0492,0.7165493,-0.36586502,-0.2539243,-0.47528517,1,train
0.0474,0.0771,0.0932,0.2687,0.1358,0.0492,0.7000949,-0.32855377,-0.2757163,-0.48253274,1,train
0.0476,0.0756,0.0928,0.2722,0.1297,0.0489,0.7023139,-0.35456577,-0.26351684,-0.46305698,1,train
0.0472,0.0749,0.0921,0.2568,0.1297,0.0489,0.6894737,-0.32884863,-0.2678397,-0.4663652,1,train
0.0476,0.0788,0.0935,0.2777,0.1368,0.0501,0.70734704,-0.3399276,-0.2690167,-0.48373103,1,train
0.0493,0.0813,0.0943,0.2903,0.1368,0.0501,0.70965844,-0.3594006,-0.25447047,-0.47017735,1,train
0.0491,0.0783,0.0934,0.2652,0.1405,0.0543,0.68755966,-0.30736998,-0.28427786,-0.4820675,1,train
0.0467,0.073,0.0922,0.2408,0.1294,0.0489,0.6751304,-0.3009184,-0.27865613,-0.46961954,1,train
0.0481,0.0763,0.0929,0.2533,0.1387,0.0516,0.68082285,-0.29234698,-0.2902325,-0.4850107,1,train
0.0495,0.0799,0.0943,0.276,0.1387,0.0516,0.6958525,-0.33108273,-0.26898444,-0.47396386,1,train
