B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0358,0.0572,0.0838,0.0658,0.0217,0.0089,0.29527563,-0.504,0.44993663,0.24521737,1,train
0.0362,0.0563,0.0838,0.0669,0.0217,0.0089,0.29776913,-0.510158,0.44358972,0.2504318,1,train
0.0358,0.0559,0.0842,0.0611,0.022,0.0092,0.2610939,-0.47051746,0.4351733,0.23875432,1,train
0.0369,0.0568,0.0845,0.0707,0.022,0.0092,0.3141264,-0.5253506,0.44162437,0.2529711,1,train
0.0359,0.0566,0.0833,0.0699,0.0275,0.0121,0.32136104,-0.43531826,0.34601665,0.13249213,1,train
0.0368,0.0575,0.0842,0.0709,0.0275,0.0121,0.31662023,-0.4410569,0.3529412,0.14463454,1,train
0.0377,0.0596,0.0851,0.095,0.0471,0.0205,0.43180105,-0.33708656,0.11715088,-0.110849045,1,train
0.0385,0.0622,0.0858,0.1187,0.0495,0.0214,0.5101781,-0.41141498,0.113697395,-0.125,1,train
0.0384,0.0625,0.0861,0.1195,0.0495,0.0214,0.5136162,-0.41420117,0.11607143,-0.12627983,1,train
0.0368,0.0621,0.0849,0.1084,0.0553,0.0244,0.49311295,-0.32437384,0.057921633,-0.20086862,1,train
0.0371,0.0615,0.0852,0.1066,0.0553,0.0244,0.4836465,-0.31686226,0.053082194,-0.19696973,1,train
0.037,0.0607,0.0866,0.1036,0.0473,0.0182,0.47368422,-0.37309477,0.12407407,-0.122182675,1,train
0.0361,0.0584,0.0841,0.079,0.0473,0.0182,0.3727194,-0.25098974,0.105014205,-0.13429256,1,train
0.0377,0.0592,0.084,0.0882,0.0347,0.0127,0.401112,-0.43531328,0.26091588,0.041436497,1,train
0.0377,0.059,0.084,0.0882,0.0347,0.0127,0.401112,-0.43531328,0.25933832,0.041436497,1,train
0.0374,0.0574,0.0843,0.0842,0.0336,0.0125,0.38486844,-0.42954162,0.26153848,0.05352114,1,train
0.0369,0.0567,0.0844,0.0796,0.0284,0.0109,0.36652362,-0.47407407,0.33254993,0.13016844,1,train
0.0363,0.0564,0.0837,0.0753,0.0284,0.0109,0.34946236,-0.45226616,0.3301887,0.122102,1,train
0.0365,0.0562,0.0829,0.0756,0.0246,0.0103,0.3487957,-0.50898206,0.39108914,0.19476269,1,train
0.0362,0.0579,0.0839,0.0753,0.0246,0.0103,0.35067263,-0.5075075,0.40363637,0.19078952,1,train
0.0354,0.0567,0.0845,0.0771,0.0262,0.0114,0.37066668,-0.4927396,0.36791313,0.14935064,1,train
0.0363,0.0569,0.0843,0.0783,0.0262,0.0114,0.36649215,-0.4985646,0.3694344,0.1616,1,train
0.037,0.0577,0.0835,0.0669,0.0217,0.0089,0.2877767,-0.510158,0.4534005,0.26064736,1,train
0.0358,0.0574,0.0837,0.0676,0.0217,0.0089,0.30754352,-0.51399773,0.4513274,0.24521737,1,train
0.0362,0.0566,0.0838,0.0696,0.022,0.0092,0.31568995,-0.51965064,0.44020358,0.24398628,1,train
0.037,0.0564,0.0831,0.0696,0.022,0.0092,0.30581614,-0.51965064,0.4387755,0.2542373,1,train
0.036,0.0563,0.0845,0.0665,0.0275,0.0121,0.297561,-0.41489363,0.3436754,0.13385825,1,train
0.0366,0.0579,0.0843,0.0711,0.0275,0.0121,0.32033423,-0.44219065,0.3559719,0.1419657,1,train
0.037,0.0583,0.0853,0.0909,0.0471,0.0205,0.42142296,-0.31739128,0.10626186,-0.12009512,1,train
0.038,0.0618,0.0851,0.1289,0.0495,0.0214,0.54463756,-0.4450673,0.11051213,-0.13142858,1,train
0.0382,0.0644,0.0847,0.1322,0.0495,0.0214,0.5516432,-0.45514587,0.13081652,-0.12884836,1,train
0.0392,0.0629,0.0845,0.1313,0.0553,0.0244,0.540176,-0.4072883,0.06429779,-0.17037037,1,train
0.0383,0.0632,0.0855,0.1188,0.0553,0.0244,0.5124125,-0.3647329,0.06666663,-0.18162394,1,train
0.038,0.0615,0.0856,0.1069,0.0473,0.0182,0.47550035,-0.38651103,0.13051473,-0.109026976,1,train
0.0363,0.0595,0.0841,0.0979,0.0473,0.0182,0.4590164,-0.34848487,0.11423223,-0.13157895,1,train
0.0377,0.0584,0.0845,0.0981,0.0347,0.0127,0.4447717,-0.47740966,0.254565,0.041436497,1,train
0.0379,0.0592,0.0845,0.0977,0.0347,0.0127,0.44100294,-0.47583082,0.26091588,0.04407716,1,train
0.037,0.058,0.084,0.0782,0.0336,0.0125,0.35763887,-0.39892665,0.26637554,0.048158664,1,train
0.0363,0.0574,0.0842,0.0754,0.0284,0.0109,0.3500448,-0.45279384,0.33799532,0.122102,1,train
0.0368,0.0565,0.0843,0.076,0.0284,0.0109,0.3475177,-0.4559387,0.33097762,0.12883437,1,train
0.0373,0.0565,0.0827,0.0739,0.0246,0.0103,0.32913667,-0.5005076,0.39334157,0.20516966,1,train
0.0349,0.0572,0.083,0.0684,0.0246,0.0103,0.3242982,-0.47096777,0.39853302,0.17310923,1,train
0.0342,0.056,0.0821,0.0639,0.0262,0.0114,0.3027523,-0.41842398,0.3625304,0.13245034,1,train
0.035,0.0542,0.0837,0.0666,0.0262,0.0114,0.31102362,-0.43534485,0.3482587,0.14379084,1,train
0.0351,0.0557,0.0844,0.0673,0.0305,0.0129,0.3144531,-0.3762781,0.29234338,0.070121974,1,train
0.0375,0.0577,0.0849,0.0688,0.0275,0.0101,0.29444966,-0.42886814,0.3544601,0.15384617,1,train
0.0379,0.0598,0.084,0.0694,0.0316,0.0121,0.29356942,-0.37425745,0.30853394,0.09064752,1,train
0.0384,0.0608,0.0843,0.0708,0.0316,0.0121,0.29670328,-0.3828125,0.31601736,0.097142905,1,train
0.037,0.0597,0.0856,0.0723,0.0378,0.0148,0.3229643,-0.3133515,0.22461541,-0.010695169,1,train
0.0369,0.0589,0.0856,0.0782,0.0378,0.0148,0.3588184,-0.34827587,0.21820062,-0.012048198,1,train
0.0383,0.0609,0.0859,0.0953,0.038,0.0149,0.42664668,-0.42985746,0.23154703,0.0039318656,1,train
0.0366,0.0577,0.0849,0.0738,0.038,0.0149,0.3369565,-0.32021466,0.20585164,-0.018766724,1,train
0.0366,0.0579,0.0848,0.0878,0.0448,0.0187,0.41157556,-0.3242836,0.12755601,-0.100737065,1,train
0.0373,0.0596,0.0852,0.116,0.0465,0.0196,0.5133724,-0.4276923,0.12346841,-0.10978519,1,train
0.0374,0.0602,0.0858,0.1286,0.0465,0.0196,0.5493976,-0.46887493,0.12839735,-0.10846247,1,train
0.0384,0.0606,0.0868,0.1263,0.0526,0.0217,0.53369766,-0.411962,0.07067139,-0.15604393,1,train
0.0385,0.061,0.0863,0.1114,0.0526,0.0217,0.48632422,-0.3585366,0.07394367,-0.15477498,1,train
0.0382,0.0628,0.0855,0.1183,0.0444,0.0174,0.5118211,-0.4542102,0.17164178,-0.07506055,1,train
0.0372,0.0593,0.0836,0.0996,0.0444,0.0174,0.45614037,-0.38333336,0.14368373,-0.08823528,1,train
0.0373,0.0564,0.0841,0.0829,0.0314,0.0114,0.3793677,-0.4505687,0.28473806,0.08588068,1,train
0.0372,0.0583,0.0841,0.0792,0.0314,0.0114,0.36082473,-0.43218806,0.29988852,0.08454812,1,train
0.0365,0.0578,0.0836,0.0746,0.03,0.0108,0.3429343,-0.42638627,0.3166287,0.09774437,1,train
0.0356,0.0568,0.0841,0.0746,0.0227,0.0092,0.35390204,-0.53340185,0.42893082,0.22126928,1,train
0.0367,0.0566,0.0847,0.0747,0.0227,0.0092,0.3411131,-0.5338809,0.42749053,0.2356902,1,train
0.0364,0.0562,0.0837,0.0737,0.0227,0.0098,0.33878294,-0.52904564,0.42458808,0.2318105,1,train
0.0356,0.0556,0.0834,0.0715,0.0227,0.0098,0.3352008,-0.51804674,0.42017877,0.22126928,1,train
0.0349,0.0557,0.0827,0.0621,0.0231,0.0097,0.2804124,-0.45774648,0.4137056,0.20344825,1,train
0.0347,0.0547,0.0833,0.0614,0.0231,0.0097,0.2778356,-0.45325443,0.40616965,0.20069203,1,train
0.035,0.0554,0.0844,0.06,0.0228,0.0109,0.26315787,-0.44927534,0.41687977,0.21107265,1,train
0.0413,0.0645,0.0841,0.071,0.0275,0.0101,0.2644702,-0.44162437,0.4021739,0.20058139,1,train
0.0398,0.0657,0.0854,0.073,0.0316,0.0121,0.29432625,-0.39579353,0.35046253,0.114845954,1,train
0.0375,0.0616,0.0848,0.07,0.0316,0.0121,0.30232558,-0.37795278,0.32188842,0.08538355,1,train
0.0378,0.0605,0.0841,0.0931,0.0378,0.0148,0.4224599,-0.4224599,0.23092574,0.0,1,train
0.0391,0.0628,0.0853,0.1149,0.0378,0.0148,0.4922078,-0.5049116,0.24850895,0.016905067,1,train
0.038,0.062,0.0855,0.1115,0.038,0.0149,0.4916388,-0.4916388,0.24000001,0.0,1,train
0.0373,0.0591,0.0856,0.1008,0.038,0.0149,0.45981172,-0.4524496,0.21730176,-0.009296108,1,train
0.0376,0.0586,0.0856,0.0956,0.0448,0.0187,0.43543544,-0.36182338,0.13346231,-0.08737863,1,train
0.0377,0.0583,0.0854,0.08,0.0465,0.0196,0.35938826,-0.26482213,0.11259541,-0.104513064,1,train
0.0377,0.0601,0.0862,0.093,0.0465,0.0196,0.42310634,-0.33333334,0.12757973,-0.104513064,1,train
0.038,0.06,0.0855,0.1023,0.0526,0.0217,0.45830366,-0.3208522,0.06571935,-0.16114792,1,train
0.0378,0.0574,0.0857,0.0856,0.0526,0.0217,0.38735822,-0.23878439,0.04363636,-0.16371682,1,train
0.0378,0.0609,0.0865,0.0954,0.0444,0.0174,0.43243244,-0.36480686,0.15669516,-0.08029197,1,train
0.0377,0.0584,0.0846,0.0813,0.0444,0.0174,0.36638653,-0.2935561,0.1361868,-0.08160777,1,train
0.037,0.0569,0.0842,0.0728,0.0314,0.0114,0.32604736,-0.39731288,0.28878823,0.08187137,1,train
0.0357,0.0577,0.0836,0.0755,0.0314,0.0114,0.35791364,-0.41253507,0.29517397,0.06408349,1,train
0.035,0.0574,0.0835,0.0755,0.03,0.0108,0.36651582,-0.4312796,0.31350115,0.07692309,1,train
0.0344,0.056,0.0835,0.0754,0.0227,0.0092,0.3734062,-0.53720695,0.4231258,0.20490368,1,train
0.036,0.056,0.0845,0.075,0.0227,0.0092,0.35135138,-0.5353122,0.4231258,0.22657578,1,train
0.0353,0.0559,0.0835,0.0723,0.0227,0.0098,0.34386617,-0.5221053,0.42239186,0.21724139,1,train
0.0357,0.0557,0.084,0.0683,0.0227,0.0098,0.31346154,-0.5010989,0.42091835,0.22260274,1,train
0.0351,0.0563,0.0839,0.062,0.0231,0.0097,0.27703395,-0.45710927,0.41813603,0.2061856,1,train
0.0353,0.0553,0.0839,0.0651,0.0231,0.0097,0.2968127,-0.47619048,0.4107143,0.20890413,1,train
0.034,0.0554,0.0835,0.0702,0.0228,0.0109,0.34740883,-0.5096774,0.41687977,0.19718312,1,train
0.0346,0.0559,0.083,0.0709,0.0228,0.0109,0.34407583,-0.5133405,0.4205845,0.20557491,1,train
0.0372,0.0599,0.0844,0.0947,0.0533,0.0209,0.43593633,-0.27972972,0.058303885,-0.17790055,1,train
0.0389,0.0597,0.084,0.1169,0.0534,0.0222,0.5006418,-0.3728714,0.05570294,-0.15709643,1,train
0.041,0.0634,0.0855,0.1393,0.0534,0.0222,0.54520243,-0.44577065,0.085616454,-0.13135591,1,train
0.038,0.0586,0.0852,0.0956,0.0418,0.018,0.43113774,-0.3915575,0.16733068,-0.04761906,1,train
0.037,0.0581,0.0847,0.0836,0.0418,0.018,0.38640133,-0.33333334,0.16316317,-0.060913697,1,train
0.037,0.0581,0.0847,0.0836,0.041,0.0172,0.38640133,-0.34189406,0.17255296,-0.05128206,1,train
0.0372,0.0578,0.0846,0.0797,0.0355,0.0143,0.3635586,-0.38368055,0.23901391,0.023383755,1,train
0.0376,0.0596,0.0845,0.0882,0.0355,0.0143,0.40222576,-0.42603073,0.25341743,0.028727747,1,train
0.0377,0.0591,0.0849,0.0896,0.0384,0.0162,0.40769833,-0.39999998,0.21230766,-0.009198432,1,train
0.0376,0.0576,0.0847,0.0709,0.0384,0.0162,0.30691245,-0.29734674,0.19999997,-0.010526347,1,train
0.0388,0.0588,0.0858,0.09,0.0339,0.0146,0.39751554,-0.4527845,0.26860842,0.067400284,1,train
0.0377,0.059,0.0856,0.0843,0.0339,0.0146,0.3819672,-0.42639592,0.270183,0.05307264,1,train
0.0365,0.0574,0.086,0.0721,0.0278,0.0108,0.32780847,-0.44344345,0.34741783,0.13530327,1,train
0.0358,0.0572,0.0846,0.0748,0.0278,0.0108,0.35262206,-0.45808968,0.34588236,0.12578616,1,train
0.0358,0.0572,0.084,0.0746,0.0277,0.0104,0.3514493,-0.45845556,0.3474676,0.12755905,1,train
0.0362,0.0564,0.0831,0.0745,0.0204,0.0092,0.3459801,-0.5700738,0.46875,0.27915195,1,train
0.0347,0.0555,0.0832,0.0735,0.0204,0.0092,0.35859522,-0.5654952,0.4624506,0.2595281,1,train
0.0355,0.0573,0.0819,0.0747,0.0218,0.0097,0.35571685,-0.54818654,0.44879898,0.2390925,1,train
0.0358,0.057,0.0834,0.0724,0.0218,0.0097,0.33826253,-0.53715503,0.4467005,0.24305554,1,train
0.0352,0.0559,0.0842,0.0714,0.0223,0.0098,0.33958724,-0.5240128,0.42966753,0.22434783,1,train
0.0359,0.0568,0.0837,0.0702,0.0223,0.0098,0.32327995,-0.5178379,0.43615678,0.233677,1,train
0.0351,0.0556,0.083,0.0704,0.0215,0.0093,0.33459714,-0.5321001,0.44228274,0.2402827,1,train
0.0364,0.0569,0.083,0.072,0.0215,0.0093,0.32841325,-0.54010695,0.45153058,0.25734025,1,train
0.0364,0.0577,0.084,0.0728,0.0215,0.0093,0.33333334,-0.5440085,0.4570707,0.25734025,1,train
0.0389,0.0609,0.0854,0.1315,0.0534,0.0222,0.5434272,-0.42239052,0.0656168,-0.15709643,1,train
0.0385,0.0595,0.0868,0.0955,0.0418,0.018,0.42537314,-0.39111435,0.17472854,-0.04109589,1,train
0.0361,0.0571,0.0844,0.0709,0.0418,0.018,0.32523364,-0.25820765,0.15470174,-0.07317073,1,train
0.0369,0.0584,0.0842,0.0735,0.0355,0.0143,0.33152175,-0.34862384,0.24387646,0.019336984,1,train
0.0369,0.0584,0.0842,0.0735,0.0355,0.0143,0.33152175,-0.34862384,0.24387646,0.019336984,1,train
0.037,0.0589,0.0839,0.0796,0.0355,0.0143,0.36535162,-0.38314506,0.24788132,0.020689646,1,train
0.0381,0.0609,0.085,0.0878,0.0384,0.0162,0.39475775,-0.39144215,0.22658607,-0.003921586,1,train
0.0379,0.0585,0.0838,0.0707,0.0384,0.0162,0.30202577,-0.29605862,0.20743032,-0.006553093,1,train
0.0377,0.0577,0.0854,0.0813,0.0339,0.0146,0.36638653,-0.4114583,0.25982532,0.05307264,1,train
0.037,0.0583,0.0864,0.0806,0.0339,0.0146,0.3707483,-0.40786028,0.2646421,0.043723557,1,train
0.0369,0.0584,0.0857,0.079,0.0278,0.0108,0.3632442,-0.47940078,0.35498843,0.14064914,1,train
0.0365,0.058,0.0832,0.0729,0.0278,0.0108,0.33272395,-0.44786495,0.35198134,0.13530327,1,train
0.0365,0.058,0.0832,0.0729,0.0278,0.0108,0.33272395,-0.44786495,0.35198134,0.13530327,1,train
0.0365,0.0558,0.0825,0.07,0.0204,0.0092,0.314554,-0.54867256,0.46456692,0.28295252,1,train
0.0361,0.0551,0.0837,0.079,0.0204,0.0092,0.3727194,-0.5895372,0.45960265,0.27787608,1,train
0.0367,0.058,0.0835,0.079,0.0218,0.0097,0.36560073,-0.56746036,0.45363408,0.25470084,1,train
0.0359,0.057,0.0844,0.0749,0.0218,0.0097,0.35198557,-0.549121,0.4467005,0.24436742,1,train
0.0357,0.0566,0.0849,0.0721,0.0223,0.0098,0.3376623,-0.52754235,0.43472752,0.2310345,1,train
0.0359,0.056,0.0832,0.0698,0.0223,0.0098,0.320719,-0.51574373,0.43039593,0.233677,1,train
0.0358,0.0551,0.0844,0.0709,0.0215,0.0093,0.32895973,-0.534632,0.4386423,0.24956366,1,train
0.0364,0.0574,0.0849,0.0728,0.0215,0.0093,0.33333334,-0.5440085,0.45500633,0.25734025,1,train
0.0364,0.0582,0.0854,0.0731,0.0215,0.0093,0.3351598,-0.54545456,0.4604768,0.25734025,1,train
0.0375,0.0604,0.0841,0.0759,0.0364,0.0137,0.33862433,-0.35173643,0.24793388,0.014884979,1,train
0.0375,0.0604,0.0841,0.0759,0.0364,0.0137,0.33862433,-0.35173643,0.24793388,0.014884979,1,train
0.0394,0.0606,0.0844,0.091,0.0364,0.0137,0.39570552,-0.4285714,0.24948452,0.039577816,1,train
0.0386,0.0628,0.0851,0.1074,0.035,0.013,0.47123286,-0.50842696,0.28425357,0.04891306,1,train
0.038,0.0589,0.0852,0.0744,0.035,0.013,0.32384342,-0.36014625,0.25452608,0.04109587,1,train
0.0375,0.0578,0.0853,0.0725,0.0309,0.0123,0.31818178,-0.40232107,0.30326945,0.096491255,1,train
0.0373,0.0583,0.0837,0.0737,0.0309,0.0123,0.32792792,-0.40917784,0.3071749,0.09384167,1,train
0.0375,0.0592,0.084,0.0851,0.0294,0.0121,0.3882545,-0.4864629,0.3363431,0.12107625,1,train
0.0369,0.0589,0.0831,0.0707,0.0294,0.0121,0.3141264,-0.4125874,0.33408833,0.11312215,1,train
0.0369,0.0589,0.0831,0.0707,0.0294,0.0121,0.3141264,-0.4125874,0.33408833,0.11312215,1,train
0.0353,0.0562,0.0822,0.0722,0.0215,0.0089,0.3432558,-0.5410886,0.44658944,0.24295776,1,train
0.0354,0.0562,0.0838,0.0771,0.0215,0.0089,0.37066668,-0.5638945,0.44658944,0.2442882,1,train
0.0357,0.0561,0.0833,0.0765,0.0217,0.0095,0.36363634,-0.5580448,0.44215938,0.24390244,1,train
0.0356,0.0557,0.0845,0.0737,0.0217,0.0095,0.3485819,-0.5450734,0.4392765,0.24258287,1,train
0.0355,0.0578,0.0858,0.0732,0.0264,0.011,0.34682614,-0.46987954,0.37292162,0.14701132,1,train
0.0351,0.0578,0.0837,0.069,0.0264,0.011,0.32564837,-0.44654086,0.37292162,0.14146344,1,train
0.0366,0.058,0.0848,0.0733,0.0404,0.0163,0.3339399,-0.28935796,0.1788618,-0.049350616,1,train
0.0379,0.0598,0.085,0.0884,0.0404,0.0163,0.39984164,-0.37267083,0.19361278,-0.03192845,1,train
0.0379,0.0598,0.085,0.0884,0.0404,0.0163,0.39984164,-0.37267083,0.19361278,-0.03192845,1,train
0.0383,0.062,0.0835,0.0909,0.0546,0.0228,0.40712073,-0.24948451,0.06346483,-0.17545748,1,train
0.0383,0.0583,0.0844,0.0805,0.0364,0.0137,0.35521886,-0.3772455,0.23125657,0.025435055,1,train
0.0368,0.0581,0.0846,0.0766,0.035,0.013,0.35097,-0.37275985,0.2481203,0.025069647,1,train
0.0364,0.0577,0.0845,0.0702,0.035,0.013,0.31707317,-0.33460078,0.24487595,0.019607862,1,train
0.0363,0.0576,0.0833,0.0685,0.0309,0.0123,0.3072519,-0.3782696,0.3016949,0.08035715,1,train
0.0366,0.0579,0.0838,0.0733,0.0309,0.0123,0.3339399,-0.40690976,0.30405405,0.08444446,1,train
0.037,0.0582,0.0848,0.0824,0.0294,0.0121,0.3802345,-0.47406083,0.32876712,0.11445783,1,train
0.0374,0.062,0.0842,0.0732,0.0294,0.0121,0.32368898,-0.4269006,0.35667396,0.11976047,1,train
0.0374,0.062,0.0842,0.0732,0.0294,0.0121,0.32368898,-0.4269006,0.35667396,0.11976047,1,train
0.0361,0.0558,0.0829,0.0671,0.0215,0.0089,0.30038762,-0.5146727,0.4437257,0.2534722,1,train
0.0347,0.0572,0.0832,0.0717,0.0215,0.0089,0.34774438,-0.5386266,0.45362133,0.23487541,1,train
0.0355,0.0574,0.0836,0.0729,0.0217,0.0095,0.34501842,-0.5412262,0.4513274,0.24125876,1,train
0.0356,0.057,0.0834,0.0711,0.0217,0.0095,0.3327085,-0.53232753,0.44853875,0.24258287,1,train
0.0358,0.057,0.0843,0.0746,0.0264,0.011,0.3514493,-0.47722775,0.36690646,0.15112539,1,train
0.0374,0.0593,0.0834,0.0715,0.0264,0.011,0.31313133,-0.46067417,0.38389733,0.1724138,1,train
0.0378,0.06,0.0843,0.0981,0.0404,0.0163,0.44370863,-0.41660652,0.19521913,-0.033248074,1,train
0.0382,0.0603,0.0853,0.1091,0.0404,0.0163,0.48133063,-0.45953178,0.1976167,-0.027989823,1,train
0.0382,0.0615,0.0853,0.1122,0.0404,0.0163,0.4920213,-0.47051114,0.20706578,-0.027989823,1,train
0.0391,0.0628,0.0831,0.1111,0.0546,0.0228,0.47936088,-0.34097767,0.06984665,-0.16542158,1,train
0.037,0.0578,0.0844,0.0681,0.038,0.0177,0.29590863,-0.28369462,0.2066806,-0.01333331,1,train
0.0365,0.0571,0.0833,0.0724,0.044,0.0183,0.32966027,-0.24398628,0.1295747,-0.09316771,1,train
0.0369,0.0587,0.0848,0.0721,0.044,0.0183,0.3229358,-0.24203272,0.14313534,-0.08776268,1,train
0.037,0.058,0.0852,0.089,0.034,0.0141,0.41269842,-0.44715446,0.26086953,0.0422535,1,train
0.0372,0.0599,0.0841,0.0783,0.034,0.0141,0.35584414,-0.39447904,0.27582532,0.044943795,1,train
0.0372,0.0578,0.0842,0.0757,0.0326,0.0134,0.34100974,-0.3979686,0.27876106,0.065902576,1,train
0.0362,0.0576,0.0842,0.0664,0.029,0.0115,0.29434696,-0.39203355,0.33025405,0.11042949,1,train
0.0357,0.0593,0.0841,0.072,0.029,0.0115,0.33704734,-0.42574257,0.34314838,0.1035549,1,train
0.038,0.0613,0.0844,0.0718,0.0299,0.0124,0.30783245,-0.41199607,0.34429824,0.11929307,1,train
0.0375,0.0582,0.0838,0.0686,0.0299,0.0124,0.29311967,-0.3928934,0.3212259,0.11275967,1,train
0.0364,0.0592,0.0864,0.0753,0.0492,0.0214,0.34825423,-0.20963858,0.092250936,-0.14953268,1,train
0.038,0.0617,0.0842,0.1162,0.0492,0.0214,0.5071336,-0.40507862,0.11271419,-0.12844037,1,train
0.0378,0.0599,0.0851,0.1179,0.0661,0.0264,0.51445085,-0.28152174,-0.049206354,-0.2723773,1,train
0.0382,0.0606,0.0872,0.1283,0.0661,0.0264,0.54114115,-0.31995884,-0.043409627,-0.26749763,1,train
0.0382,0.0616,0.0865,0.1376,0.0661,0.0264,0.56541526,-0.3510064,-0.035238855,-0.26749763,1,train
0.0412,0.0656,0.0855,0.1728,0.0836,0.034,0.6149533,-0.34789392,-0.12064343,-0.33974358,1,train
0.0407,0.0661,0.0851,0.1806,0.0836,0.034,0.63217354,-0.3671461,-0.11690045,-0.34513274,1,train
0.0377,0.0574,0.0851,0.078,0.034,0.0141,0.3483146,-0.39285713,0.25601748,0.051603895,1,train
0.0363,0.0569,0.085,0.0703,0.034,0.0141,0.31894934,-0.34803447,0.25192514,0.032716896,1,train
0.0363,0.0569,0.0849,0.0703,0.0326,0.0134,0.31894934,-0.3663751,0.27150837,0.053701006,1,train
0.0358,0.0574,0.0836,0.069,0.029,0.0115,0.3167939,-0.40816328,0.3287037,0.10493827,1,train
0.0366,0.0587,0.0833,0.0828,0.029,0.0115,0.38693467,-0.48121646,0.33865452,0.11585369,1,train
0.0383,0.0612,0.0846,0.0739,0.0299,0.0124,0.31729054,-0.4238921,0.3435785,0.123167165,1,train
0.0392,0.06,0.0844,0.0732,0.0299,0.0124,0.3024911,-0.41998062,0.33481646,0.13458757,1,train
0.0387,0.06,0.086,0.1153,0.0492,0.0214,0.4974026,-0.40182373,0.0989011,-0.119453914,1,train
0.0422,0.0642,0.0866,0.1757,0.0492,0.0214,0.61266637,-0.5624722,0.13227513,-0.076586425,1,train
0.0389,0.0611,0.086,0.1597,0.0661,0.0264,0.60825783,-0.41452613,-0.039308198,-0.25904763,1,train
0.0385,0.0609,0.0866,0.14,0.0661,0.0264,0.5686275,-0.3585638,-0.0409449,-0.26386234,1,train
0.0391,0.0614,0.0874,0.1448,0.0661,0.0264,0.5747689,-0.37316266,-0.036862753,-0.25665402,1,train
0.0416,0.0643,0.0868,0.1855,0.0836,0.034,0.63364154,-0.37866962,-0.13049357,-0.33546326,1,train
0.0435,0.067,0.0864,0.1993,0.0836,0.034,0.6416804,-0.40897846,-0.11022575,-0.3154996,1,train
0.036,0.0581,0.0841,0.0714,0.0487,0.0201,0.32960898,-0.18900916,0.08801497,-0.149941,1,train
0.0358,0.0577,0.0832,0.0716,0.0487,0.0185,0.33333334,-0.19035742,0.084586464,-0.15266275,1,train
0.0365,0.0593,0.0846,0.1034,0.0487,0.0185,0.4781987,-0.3596318,0.09814815,-0.1431925,1,train
0.0385,0.0643,0.0846,0.1052,0.0571,0.0221,0.46416146,-0.29636475,0.059308063,-0.19456069,1,train
0.0407,0.0639,0.0845,0.1168,0.0571,0.0221,0.48317462,-0.34330073,0.056198344,-0.16768917,1,train
0.0426,0.0657,0.0868,0.1557,0.0745,0.0295,0.57034796,-0.35273674,-0.062767476,-0.27241677,1,train
0.0428,0.0649,0.0873,0.1834,0.0745,0.0295,0.6215738,-0.42225668,-0.06886656,-0.27024722,1,train
0.0398,0.0635,0.0867,0.1717,0.0793,0.0315,0.62364066,-0.3681275,-0.11064425,-0.33165407,1,train
0.0394,0.0622,0.087,0.1641,0.0793,0.0315,0.6127764,-0.3483977,-0.120848075,-0.33614153,1,train
0.0416,0.063,0.0872,0.1607,0.0874,0.0338,0.5887296,-0.29544538,-0.16223402,-0.35503873,1,train
0.0421,0.064,0.0872,0.1707,0.09,0.0354,0.60432327,-0.30955118,-0.16883117,-0.36260408,1,train
0.0441,0.066,0.0868,0.1852,0.09,0.0354,0.6153511,-0.34593022,-0.15384617,-0.34228188,1,train
0.0433,0.0657,0.087,0.1869,0.0978,0.041,0.6238054,-0.312961,-0.19633026,-0.3862509,1,train
0.0403,0.063,0.0849,0.1335,0.0571,0.0221,0.53624856,-0.40083942,0.04912572,-0.1724846,1,train
0.044,0.0658,0.0843,0.1614,0.0571,0.0221,0.5715677,-0.47734553,0.07078927,-0.1295747,1,train
0.0443,0.0658,0.0875,0.1639,0.0745,0.0295,0.57444763,-0.375,-0.062009964,-0.25420874,1,train
0.0423,0.0648,0.0866,0.1579,0.0745,0.0295,0.57742256,-0.35886404,-0.069633886,-0.27568492,1,train
0.0415,0.0639,0.0875,0.162,0.0793,0.0315,0.59213763,-0.3427269,-0.1075419,-0.31291392,1,train
0.0415,0.0635,0.0875,0.1581,0.0793,0.0315,0.5841683,-0.3319292,-0.11064425,-0.31291392,1,train
0.0416,0.0649,0.0881,0.1713,0.0874,0.0338,0.6092062,-0.32431388,-0.14773469,-0.35503873,1,train
0.0436,0.0656,0.0881,0.1713,0.09,0.0354,0.5942299,-0.3111366,-0.15681235,-0.34730542,1,train
0.0446,0.0652,0.0888,0.178,0.09,0.0354,0.59928125,-0.3283582,-0.15979382,-0.3372957,1,train
0.0433,0.067,0.0885,0.1899,0.0978,0.041,0.62864494,-0.3201251,-0.1868932,-0.3862509,1,train
0.0434,0.0662,0.0895,0.2018,0.0978,0.041,0.64600325,-0.3471295,-0.1926829,-0.38526914,1,train
0.0424,0.0641,0.0874,0.1552,0.0713,0.0269,0.5708502,-0.37041944,-0.053175796,-0.25417766,1,train
0.0419,0.0643,0.0887,0.1624,0.0713,0.0269,0.5898189,-0.38981602,-0.051622413,-0.2597173,1,train
0.0419,0.0644,0.0889,0.1624,0.0713,0.0269,0.5898189,-0.38981602,-0.050847437,-0.2597173,1,train
0.0425,0.0631,0.0872,0.1609,0.0742,0.0282,0.5821042,-0.36877924,-0.08084482,-0.27163666,1,train
